Date,Product ID,Phone,Launch Date,Brunei,Cambodia,East Timor,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,Date 2,TempNo
1/2/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-759
1/2/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-820
1/2/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-943
1/2/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-547
1/2/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-731
1/2/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-608
1/2/2019,P024,Samsung Galaxy A50,2019-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2019,-89
1/2/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-181
1/2/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-790
1/2/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-212
1/2/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-181
1/2/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-731
1/2/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-820
1/2/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-547
1/2/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-365
1/2/2019,P033,Samsung Galaxy A7,2018-10,265,232,373,1452,2108,347,901,822,1162,328,1207,1/10/2018,123
1/2/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-212
1/2/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-365
1/3/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-731
1/3/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-762
1/3/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-550
1/3/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-337
1/3/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-731
1/3/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-731
1/3/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-792
1/3/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-611
1/3/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-337
1/3/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-915
1/3/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-672
1/3/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-945
1/3/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-823
1/3/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-915
1/3/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-703
1/3/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-731
1/3/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-792
1/3/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-915
1/3/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-519
1/3/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-703
1/3/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-580
1/3/2019,P024,Samsung Galaxy A50,2019-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2019,-61
1/3/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-153
1/3/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-762
1/3/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-184
1/3/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-153
1/3/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-703
1/3/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-792
1/3/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-519
1/3/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-337
1/3/2019,P033,Samsung Galaxy A7,2018-10,300,542,605,1844,741,135,616,-67,1056,1665,-676,1/10/2018,151
1/3/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-184
1/3/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-337
1/3/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-731
1/3/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-762
1/4/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-519
1/4/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-306
1/4/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-700
1/4/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-700
1/4/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-761
1/4/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-580
1/4/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-306
1/4/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-884
1/4/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-641
1/4/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-914
1/4/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-792
1/4/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-884
1/4/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-672
1/4/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-700
1/4/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-761
1/4/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-884
1/4/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-488
1/4/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-672
1/4/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-549
1/4/2019,P024,Samsung Galaxy A50,2019-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2019,-30
1/4/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-122
1/4/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-731
1/4/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-153
1/4/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-122
1/4/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-672
1/4/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-761
1/4/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-488
1/4/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-306
1/4/2019,P033,Samsung Galaxy A7,2018-10,513,613,-23,1247,473,480,322,397,2164,851,1017,1/10/2018,182
1/4/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-153
1/4/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-306
1/4/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-700
1/4/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-731
1/4/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-519
1/4/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-306
1/5/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/5/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/5/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-731
1/5/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-550
1/5/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-276
1/5/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-854
1/5/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-611
1/5/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-884
1/5/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-762
1/5/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-854
1/5/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-642
1/5/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/5/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-731
1/5/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-854
1/5/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-458
1/5/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-642
1/5/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-519
1/5/2019,P024,Samsung Galaxy A50,2019-05,4808,1721,2256,8955,5254,3059,3164,8807,791,4456,6080,1/5/2019,0
1/5/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-92
1/5/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-701
1/5/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-123
1/5/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-92
1/5/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-642
1/5/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-731
1/5/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-458
1/5/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-276
1/5/2019,P033,Samsung Galaxy A7,2018-10,259,339,77,410,1674,368,319,246,1356,1741,645,1/10/2018,212
1/5/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-123
1/5/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-276
1/5/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/5/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-701
1/5/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-489
1/5/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-276
1/5/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/5/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-670
1/6/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-700
1/6/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-519
1/6/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-245
1/6/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-823
1/6/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-580
1/6/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-853
1/6/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-731
1/6/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-823
1/6/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-611
1/6/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-639
1/6/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-700
1/6/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-823
1/6/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-427
1/6/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-611
1/6/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-488
1/6/2019,P024,Samsung Galaxy A50,2019-05,10125,1063,931,14810,5137,1799,822,2237,3443,8014,4838,1/5/2019,31
1/6/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-61
1/6/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-670
1/6/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-92
1/6/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-61
1/6/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-611
1/6/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-700
1/6/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-427
1/6/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-245
1/6/2019,P033,Samsung Galaxy A7,2018-10,78,332,146,694,638,258,272,102,880,633,164,1/10/2018,243
1/6/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-92
1/6/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-245
1/6/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-639
1/6/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-670
1/6/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-458
1/6/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-245
1/6/2019,P007,Xiaomi Redmi 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-639
1/6/2019,P008,Samsung Galaxy A52,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-639
1/6/2019,P009,Vivo Y33s,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-700
1/6/2019,P010,Vivo Y11s,2020-11,0,0,0,0,0,0,0,0,0,0,0,1/11/2020,-519
1/7/2019,P011,Huawei Nova 7i,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-215
1/7/2019,P012,iPhone 13,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-793
1/7/2019,P013,Samsung Galaxy S21,2021-01,0,0,0,0,0,0,0,0,0,0,0,1/1/2021,-550
1/7/2019,P014,Google Pixel 6,2021-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2021,-823
1/7/2019,P015,OnePlus Nord CE,2021-06,0,0,0,0,0,0,0,0,0,0,0,1/6/2021,-701
1/7/2019,P016,Apple iPhone 13 Pro,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-793
1/7/2019,P017,Samsung Galaxy A32 5G,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-581
1/7/2019,P018,Realme C25,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-609
1/7/2019,P019,Xiaomi Poco X3 Pro,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-670
1/7/2019,P020,Samsung Galaxy Z Flip 3,2021-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2021,-793
1/7/2019,P021,Xiaomi Poco X3 NFC,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-397
1/7/2019,P022,OPPO A93,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-581
1/7/2019,P023,Vivo V20,2020-10,0,0,0,0,0,0,0,0,0,0,0,1/10/2020,-458
1/7/2019,P024,Samsung Galaxy A50,2019-05,2573,1331,1547,3772,3035,1364,843,3222,1569,3556,1315,1/5/2019,61
1/7/2019,P025,Xiaomi Redmi Note 7,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-31
1/7/2019,P026,Realme C21,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-640
1/7/2019,P027,Google Pixel 4,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-62
1/7/2019,P028,Samsung Galaxy A10s,2019-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2019,-31
1/7/2019,P029,Realme Narzo 30A,2021-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2021,-581
1/7/2019,P030,Samsung Galaxy A22 5G,2021-05,0,0,0,0,0,0,0,0,0,0,0,1/5/2021,-670
1/7/2019,P031,Xiaomi Redmi 9,2020-08,0,0,0,0,0,0,0,0,0,0,0,1/8/2020,-397
1/7/2019,P032,Realme C3,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-215
1/7/2019,P033,Samsung Galaxy A7,2018-10,201,186,140,788,893,224,454,380,1073,1204,185,1/10/2018,273
1/7/2019,P001,iPhone 11,2019-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2019,-62
1/7/2019,P002,Samsung Galaxy S20 Ultra,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-215
1/7/2019,P003,Xiaomi Redmi Note 10,2021-03,0,0,0,0,0,0,0,0,0,0,0,1/3/2021,-609
1/7/2019,P004,OPPO A54,2021-04,0,0,0,0,0,0,0,0,0,0,0,1/4/2021,-640
1/7/2019,P005,Vivo Y20,2020-09,0,0,0,0,0,0,0,0,0,0,0,1/9/2020,-428
1/7/2019,P006,Huawei Y9a,2020-02,0,0,0,0,0,0,0,0,0,0,0,1/2/2020,-215
