Date of Sale,Region of Sale,Salesperson,Product Category,Product,Units Sold,Unit Price
2023-05-15,West,Eve,Electronics,Phone,44,543.3785723044252
2023-06-27,South,Alice,Furniture,Table,37,182.05938570205237
2022-10-04,East,Alice,Furniture,Table,89,199.60957975449384
2022-11-22,South,Charlie,Electronics,Laptop,10,1019.1582294952932
2023-07-03,North,Alice,Electronics,Phone,98,468.5280424655708
2023-05-08,South,Alice,Stationery,Notebook,47,10.271565256046578
2022-10-04,North,Eve,Furniture,Table,99,207.04429767011257
2023-04-06,North,Charlie,Electronics,Laptop,84,979.1602511747159
2022-11-04,West,Eve,Stationery,Notebook,81,10.030826795059806
2023-05-18,West,Bob,Furniture,Chair,21,92.132879083998
2023-03-15,North,David,Electronics,Phone,97,509.93877377614496
2023-01-02,East,Alice,Furniture,Table,81,207.93585396648186
2023-06-17,North,Eve,Stationery,Notebook,15,10.711206771951773
2022-09-20,South,Bob,Stationery,Notebook,65,10.261893645005422
2023-01-15,North,Alice,Furniture,Table,21,184.5575603079279
2023-06-12,South,David,Furniture,Chair,11,102.1692395455599
2022-12-06,East,Alice,Electronics,Phone,74,501.3402360547714
2022-10-27,North,David,Electronics,Phone,65,461.73979470443925
2022-11-07,North,Eve,Furniture,Chair,52,98.24262972414886
2022-11-23,West,Charlie,Electronics,Laptop,34,926.5452667929147
2022-12-27,South,Bob,Electronics,Laptop,49,1072.1989881958878
2023-03-12,West,David,Stationery,Notebook,7,10.240456293795464
2022-10-21,West,Eve,Electronics,Laptop,80,968.9220353891087
2023-06-01,West,Bob,Furniture,Table,22,183.42571773760977
2022-11-30,West,David,Electronics,Phone,40,518.0059179838439
2023-01-25,South,Eve,Furniture,Chair,78,94.34662851428173
2022-12-09,North,Bob,Stationery,Notebook,51,10.598487896544848
2023-06-24,North,Eve,Electronics,Phone,96,474.6467992525545
2022-12-22,East,Bob,Stationery,Pen,50,4.775272528161121
2022-08-27,North,Charlie,Furniture,Table,19,190.68420838478454
2023-07-06,North,Alice,Stationery,Notebook,4,10.887924288760768
2023-03-21,East,Eve,Stationery,Notebook,50,9.45261884956502
2022-12-20,West,David,Electronics,Phone,92,529.001094661594
2023-07-09,East,Bob,Electronics,Laptop,80,999.9752914713196
2022-09-12,South,Eve,Stationery,Notebook,18,10.179685153105822
2022-10-16,East,Eve,Furniture,Chair,36,94.60964430404874
2022-09-04,North,Charlie,Electronics,Phone,63,533.3470284935065
2023-01-02,North,David,Electronics,Phone,35,467.9413749626878
2022-10-20,South,David,Stationery,Pen,8,5.050759185231143
2023-01-25,West,David,Furniture,Table,46,218.65180197964128
2022-12-20,East,David,Furniture,Table,87,199.85392879476927
2023-01-25,South,Bob,Electronics,Phone,40,450.39244610125223
2022-10-29,West,Eve,Electronics,Phone,11,487.89651549068486
2022-09-07,West,David,Stationery,Pen,87,4.945420245715027
2023-07-05,East,Eve,Stationery,Pen,11,5.2035735498214635
2022-12-04,West,Bob,Stationery,Pen,49,5.186501473137877
2023-03-31,North,Charlie,Stationery,Notebook,96,10.456586386632365
2022-09-25,East,Bob,Electronics,Laptop,29,930.742388869026
2023-02-27,North,Bob,Furniture,Table,11,215.8040274979943
2022-11-24,North,Charlie,Furniture,Chair,4,90.73196612213246
2022-08-15,East,Eve,Stationery,Notebook,19,10.257430837947815
2023-01-09,West,David,Electronics,Phone,35,488.0168806693075
2023-07-10,West,David,Stationery,Notebook,63,9.548903343139349
2023-06-18,South,Eve,Furniture,Table,50,180.7901473226685
2022-12-01,North,Bob,Stationery,Notebook,56,10.83284547265325
2023-03-02,South,Eve,Electronics,Phone,42,545.8057649084816
2023-05-20,North,Bob,Electronics,Phone,28,548.9342169078368
2022-12-30,North,Alice,Stationery,Pen,74,4.716836441928659
2022-12-17,South,David,Furniture,Table,47,191.2998153428764
2023-04-28,North,Charlie,Electronics,Phone,89,545.1715020711356
2022-09-21,North,Bob,Furniture,Chair,12,95.65624510037354
2022-09-12,West,David,Furniture,Chair,6,106.22596130096818
2022-09-24,East,Alice,Furniture,Table,44,205.55324464080954
2023-06-07,South,Alice,Stationery,Pen,91,5.221372922125315
2023-04-26,West,Eve,Electronics,Phone,64,539.2975549053066
2022-11-02,North,David,Stationery,Notebook,45,9.303855162821081
2023-05-24,North,Alice,Electronics,Phone,9,516.6190637051402
2023-06-13,South,Charlie,Stationery,Pen,64,4.822737810597447
2023-01-14,West,Alice,Furniture,Table,62,217.08084238766762
2023-03-22,East,Bob,Electronics,Phone,3,539.9278898327208
2023-06-19,South,Alice,Electronics,Laptop,98,998.9185542756757
2023-06-20,South,Bob,Furniture,Table,91,186.98848062379005
2023-01-17,West,Alice,Electronics,Laptop,32,1015.0997339419441
2022-11-16,North,Bob,Stationery,Notebook,35,10.24105664289304
2022-09-27,East,Alice,Electronics,Phone,1,496.92388913348447
2022-10-30,North,David,Stationery,Pen,11,5.315719183112483
2022-11-12,North,Bob,Furniture,Chair,68,109.55100953060273
2022-11-04,East,Charlie,Stationery,Notebook,77,10.152812692917575
2023-06-16,East,Bob,Electronics,Laptop,34,905.8224328643016
2022-08-11,South,David,Furniture,Chair,28,100.16515675239353
2022-12-20,South,Alice,Stationery,Notebook,72,9.945315244664469
2022-12-31,West,Eve,Stationery,Notebook,11,10.801943423480243
2023-03-01,East,Eve,Stationery,Pen,85,5.374219024454638
2022-12-11,North,David,Stationery,Pen,12,4.843804572966491
2022-08-12,West,David,Stationery,Pen,54,5.368286061594593
2023-02-03,North,Charlie,Furniture,Table,60,193.6924050468781
2022-11-29,South,Alice,Stationery,Pen,28,4.811007934570911
2022-11-13,North,Eve,Electronics,Phone,45,530.7305735061898
2022-12-17,North,Alice,Stationery,Notebook,62,9.575715280683294
2023-01-04,North,David,Electronics,Phone,55,511.6860877970166
2022-10-25,West,Alice,Electronics,Laptop,14,948.5168869451692
2022-09-24,West,David,Electronics,Laptop,48,914.3538154661815
2023-04-14,South,Eve,Electronics,Phone,72,500.91344362456556
2023-06-21,East,Alice,Stationery,Notebook,94,10.13096736949582
2022-07-29,East,Charlie,Stationery,Pen,64,5.394365646473499
2023-03-31,North,Bob,Furniture,Chair,99,95.00740536824104
2022-09-04,West,Bob,Furniture,Chair,99,100.43194413869969
2022-12-21,East,David,Furniture,Table,62,213.28751148529292
2022-09-28,South,Eve,Stationery,Pen,41,4.557165942958462
2023-03-02,North,Eve,Furniture,Chair,73,100.57458878048347
2022-09-29,North,David,Stationery,Pen,96,5.066909789116584
2023-05-12,East,David,Electronics,Phone,53,474.2019685872361
2022-11-13,North,David,Stationery,Pen,41,5.175150386077593
2022-08-13,South,Charlie,Furniture,Table,81,214.0003059856275
2022-12-20,East,Eve,Furniture,Chair,14,94.6428028845786
2022-11-26,North,Bob,Stationery,Notebook,96,9.983882968799255
2022-11-12,North,Bob,Stationery,Notebook,42,10.201357893715242
2023-02-20,West,Bob,Furniture,Table,17,213.93469477637476
2023-07-11,West,Alice,Electronics,Phone,46,503.33350580757144
2023-06-21,South,Charlie,Stationery,Notebook,71,9.009756454114912
2022-08-21,West,Bob,Stationery,Pen,75,4.5511246449925835
2023-04-17,South,Charlie,Stationery,Notebook,24,9.445535340803712
2023-01-27,South,David,Stationery,Notebook,6,9.916862717884316
2022-07-31,South,Alice,Electronics,Laptop,47,1060.449525691373
2022-07-29,South,David,Stationery,Notebook,46,10.624735252766335
2023-07-03,West,Bob,Stationery,Notebook,40,10.019462856352739
2023-04-23,North,Charlie,Furniture,Chair,99,100.29500109735645
2023-02-12,West,Bob,Furniture,Chair,80,93.59230639400444
2022-11-28,North,David,Stationery,Notebook,34,10.48263945322244
2023-06-15,North,Alice,Electronics,Phone,34,462.7257982621271
2023-04-21,East,Bob,Furniture,Chair,2,98.4978777970917
2022-09-04,East,Eve,Furniture,Chair,13,103.878735664149
2022-10-14,West,Alice,Furniture,Chair,72,93.30610480183856
2023-07-14,East,Alice,Stationery,Pen,70,4.71995327687729
2023-04-07,East,Eve,Stationery,Pen,98,4.597984214220681
2023-02-15,East,Alice,Furniture,Chair,2,99.55702779344861
2023-03-25,North,Alice,Furniture,Table,83,206.03242201377032
2023-04-14,North,Eve,Stationery,Notebook,12,10.586867237502524
2022-11-24,East,Eve,Electronics,Phone,15,515.7427453026505
2023-03-29,North,Charlie,Electronics,Laptop,65,1009.8300412940841
2023-03-14,East,Bob,Stationery,Notebook,4,10.759187240909675
2022-08-24,North,Bob,Electronics,Phone,38,476.5194355465271
2022-11-18,East,Charlie,Furniture,Table,31,205.2853462413482
2023-07-18,East,David,Electronics,Laptop,29,1026.829410212478
2023-04-01,North,Bob,Electronics,Laptop,47,909.6566094321192
2022-12-28,North,Eve,Stationery,Pen,65,4.523376512460642
2023-07-09,East,Alice,Furniture,Chair,84,95.77184618029335
2023-06-23,North,David,Furniture,Chair,53,101.53008616662957
2022-12-29,South,David,Stationery,Notebook,58,9.866955088546096
2022-10-20,West,David,Furniture,Chair,51,94.82425741890125
2022-11-13,East,Bob,Furniture,Chair,81,91.1377832733315
2023-06-27,West,Eve,Stationery,Pen,40,5.430280880167161
2022-07-25,North,Eve,Furniture,Chair,13,103.86555620643261
2022-10-03,West,David,Electronics,Laptop,39,1086.3873203676997
2023-04-06,West,Alice,Electronics,Laptop,9,1002.673771267536
2023-03-02,East,Eve,Furniture,Table,16,212.21371632519444
2023-04-08,South,David,Stationery,Notebook,49,10.34746528132521
2023-03-30,South,David,Furniture,Table,31,189.04500595527588
2023-05-17,East,Eve,Furniture,Chair,7,93.06093116646332
2022-08-12,West,David,Electronics,Laptop,85,924.227923823072
2023-05-01,East,David,Furniture,Chair,81,93.16134692731627
2022-12-09,North,Bob,Stationery,Pen,68,5.0291255157876
2022-09-03,South,Charlie,Electronics,Laptop,53,1060.0287626271913
2023-01-15,West,Bob,Furniture,Table,51,198.40895710797562
2023-04-24,East,Eve,Stationery,Notebook,23,9.623671494033765
2023-02-14,East,Alice,Furniture,Table,40,181.47716734802435
2022-12-12,East,Bob,Furniture,Chair,96,93.50390704085252
2023-04-12,North,Bob,Electronics,Phone,47,545.127290620915
2022-12-02,South,Eve,Stationery,Pen,19,4.7787606471075845
2023-04-16,East,Charlie,Stationery,Notebook,28,10.279767004085716
2023-01-04,North,Eve,Furniture,Table,86,197.24759258771562
2023-01-12,West,Charlie,Electronics,Laptop,16,1086.933773608295
2023-06-15,West,David,Furniture,Chair,30,109.38543754335683
2023-01-29,West,Charlie,Electronics,Phone,18,514.8706275432108
2022-10-27,West,David,Electronics,Phone,86,455.5250755663375
2022-07-24,North,Eve,Stationery,Notebook,73,10.135827209474204
2023-01-19,West,David,Furniture,Chair,70,102.64044099094227
2023-07-14,South,Charlie,Electronics,Laptop,81,1022.8844252243152
2023-02-19,South,Eve,Furniture,Table,23,186.61752338798428
2023-06-30,West,Alice,Furniture,Chair,77,101.82869986852128
2022-09-28,South,Bob,Stationery,Pen,44,5.381274920793744
2022-11-13,North,Bob,Electronics,Laptop,63,935.5473309105474
2023-01-18,North,Bob,Stationery,Pen,65,5.276206247067684
2023-03-20,West,Eve,Furniture,Chair,31,94.32755579685956
2023-05-14,West,Eve,Stationery,Notebook,55,9.017574812103565
2023-06-07,North,Charlie,Electronics,Phone,77,477.9689027342908
2022-08-04,East,Eve,Furniture,Table,73,199.11352517180524
2023-03-30,East,David,Electronics,Laptop,14,916.3711619995801
2023-03-31,North,Eve,Furniture,Chair,65,95.24113966195145
2023-03-09,North,Alice,Stationery,Pen,43,5.383050497352163
2023-04-26,North,Alice,Furniture,Table,18,194.22736482088177
2023-02-04,West,Bob,Furniture,Chair,88,91.84064030399612
2023-01-31,South,Charlie,Stationery,Notebook,34,10.819571904500267
2022-10-24,South,Bob,Electronics,Laptop,44,995.0711170548424
2022-11-17,West,Bob,Stationery,Pen,91,4.9061350874573915
2023-01-08,West,Bob,Stationery,Notebook,22,10.948397392811916
2023-01-13,West,Eve,Stationery,Notebook,37,10.893897660748344
2023-03-26,North,David,Furniture,Table,7,212.44036388739985
2023-07-20,East,Alice,Electronics,Laptop,38,917.1248130596296
2022-11-03,West,Alice,Electronics,Phone,73,524.2694061842627
2022-09-04,West,Eve,Electronics,Laptop,82,1073.128980981995
2023-04-16,East,Eve,Electronics,Laptop,46,1072.9489850545308
2022-12-02,North,Charlie,Electronics,Phone,88,548.7652291982811
2022-11-20,South,David,Stationery,Notebook,9,10.517413098855577
2023-01-12,West,David,Stationery,Pen,35,5.256469478880639
2022-10-26,East,Charlie,Electronics,Laptop,5,977.4855698032346
2023-06-01,West,Bob,Furniture,Table,51,196.44049768512605
2023-02-12,South,Alice,Furniture,Table,38,218.58163247535515
2023-06-10,East,Alice,Stationery,Pen,59,4.528560827421525
2023-02-20,North,Alice,Electronics,Laptop,15,1008.6703890268532
2022-12-03,South,David,Furniture,Chair,67,107.36173718898678
2022-10-07,East,Alice,Stationery,Notebook,47,10.494966168869437
2022-10-27,North,Charlie,Furniture,Chair,69,92.90291394703351
2022-12-01,South,Bob,Stationery,Pen,63,4.991560545964642
2023-01-15,North,Charlie,Furniture,Table,29,186.39145133086797
2023-05-31,North,Bob,Electronics,Phone,60,522.7868319698232
2022-09-04,West,Charlie,Electronics,Phone,82,452.7760731946442
2023-07-14,North,David,Electronics,Laptop,62,1046.2510684899917
2022-12-15,West,Charlie,Furniture,Table,22,207.38494168178372
2023-01-03,West,Charlie,Furniture,Chair,77,98.05336509480185
2023-05-16,South,David,Electronics,Phone,56,502.59148506728314
2022-10-27,North,Charlie,Furniture,Chair,94,97.91220594737294
2022-10-27,South,David,Stationery,Notebook,18,9.943612033048378
2023-02-01,East,David,Furniture,Table,20,204.2780429919392
2023-05-03,North,Charlie,Electronics,Laptop,71,1050.7816057959885
2023-06-26,West,Eve,Electronics,Laptop,88,975.9058001411016
2022-10-13,West,Charlie,Stationery,Notebook,40,9.933549075029829
2022-12-22,North,Bob,Furniture,Chair,40,97.14130296201776
2022-07-26,North,Bob,Stationery,Notebook,36,9.867301557999948
2022-09-24,South,Alice,Stationery,Notebook,23,10.974660375881985
2023-07-04,West,Alice,Electronics,Phone,23,519.7147024746471
2022-12-02,East,Charlie,Furniture,Table,25,211.76915678893758
2022-11-07,North,Alice,Electronics,Laptop,66,1079.3206774985051
2023-04-11,North,Bob,Furniture,Chair,57,104.59626926122971
2023-02-16,North,Charlie,Stationery,Pen,42,4.8940666332532965
2023-07-03,North,David,Stationery,Notebook,55,9.188887084203012
2022-11-09,North,Bob,Stationery,Notebook,34,9.892456424595562
2023-01-22,West,Eve,Furniture,Chair,67,98.7374679818473
2023-03-30,North,Bob,Stationery,Notebook,9,9.021870136040945
2023-04-09,West,Charlie,Electronics,Laptop,46,1099.8828936974385
2023-06-29,East,Charlie,Furniture,Table,91,191.6554222596589
2022-08-26,North,Bob,Stationery,Notebook,21,10.666733560382756
2023-04-20,East,David,Stationery,Pen,17,4.594649002610478
2023-05-15,West,Eve,Stationery,Notebook,77,9.99019602183086
2022-12-24,West,Charlie,Stationery,Pen,55,4.583741779866635
2022-10-19,West,Charlie,Electronics,Phone,48,465.3025997324952
2022-11-19,South,Charlie,Electronics,Laptop,28,973.7411142995538
2022-12-06,South,Bob,Electronics,Laptop,97,940.8360263881386
2022-11-21,South,Alice,Furniture,Chair,14,94.76926087948951
2023-02-19,South,Eve,Furniture,Chair,53,92.68837185632314
2022-11-29,South,David,Stationery,Notebook,89,9.892557100995278
2022-11-13,East,Charlie,Stationery,Notebook,27,10.754185520850271
2023-03-25,South,Alice,Electronics,Phone,100,462.7645633601691
2022-10-18,West,Alice,Electronics,Laptop,29,1035.1001612008574
2023-06-20,North,Alice,Stationery,Notebook,33,9.255836152040471
2023-04-05,North,Eve,Furniture,Table,36,213.8224497319316
2023-04-22,East,Alice,Stationery,Notebook,89,10.311177671589899
2023-05-29,East,Charlie,Electronics,Phone,96,513.352852834217
2023-05-20,South,David,Stationery,Notebook,74,9.037967301573751
2022-09-25,South,Charlie,Stationery,Pen,37,4.551365696135926
2022-12-13,East,Alice,Electronics,Laptop,21,965.4234544008181
2023-05-23,East,David,Stationery,Pen,26,4.974595084892607
2023-01-25,South,Alice,Furniture,Chair,93,108.37783616894794
2023-06-28,East,Charlie,Stationery,Pen,37,5.140881116261053
2022-08-06,South,Charlie,Furniture,Chair,40,93.68044657079788
2022-11-05,North,Alice,Electronics,Phone,90,526.3317193619044
2022-09-24,West,Alice,Stationery,Notebook,20,9.068688481887046
2022-11-16,East,David,Furniture,Table,19,208.60559685668437
2022-11-08,West,Charlie,Electronics,Laptop,83,931.6018210471283
2023-01-15,West,Alice,Stationery,Notebook,69,10.737538923826211
2023-03-06,East,David,Furniture,Chair,94,101.87442104851652
2023-03-13,North,Alice,Electronics,Laptop,55,977.934895252722
2022-08-01,North,Alice,Electronics,Phone,7,501.77378589827083
2023-03-02,South,Alice,Furniture,Chair,71,91.51858773745725
2022-10-27,South,Bob,Electronics,Phone,37,545.5713583755522
2022-08-12,North,Charlie,Stationery,Notebook,55,10.642916123691734
2023-02-16,West,Bob,Furniture,Table,46,188.23176102090906
2022-12-09,East,Charlie,Furniture,Chair,15,97.34325177180439
2023-03-02,North,Bob,Electronics,Laptop,26,918.7308443014634
2023-02-23,North,Bob,Stationery,Notebook,47,10.072371756838477
2023-01-18,East,Alice,Furniture,Table,59,184.2282245468413
2022-09-25,South,Eve,Furniture,Chair,10,96.63470064555851
2023-06-09,West,David,Electronics,Laptop,73,930.9520465810282
2022-07-26,East,Charlie,Stationery,Notebook,79,10.896190196508801
2023-01-02,South,Bob,Stationery,Pen,7,4.753863839552635
2023-03-11,East,David,Stationery,Notebook,34,10.999866449161427
2023-06-01,West,David,Furniture,Chair,18,97.97263007622702
2023-02-16,East,Bob,Furniture,Chair,92,98.11909937993765
2023-02-08,North,Bob,Stationery,Notebook,2,10.865189546259629
2023-01-22,South,Eve,Stationery,Notebook,86,10.981989209970708
2022-07-27,North,Bob,Furniture,Chair,84,93.2714877258681
2022-09-09,East,Bob,Stationery,Pen,48,4.890840900352818
2022-11-02,East,Eve,Furniture,Chair,93,102.1861703386462
2022-08-12,West,Eve,Furniture,Chair,91,92.51443538419316
2022-12-20,South,Eve,Furniture,Table,79,192.3162448483865
2023-03-22,West,Charlie,Stationery,Notebook,71,10.204334791709968
2022-11-29,East,Alice,Stationery,Notebook,2,9.607010843023483
2023-02-10,North,Bob,Furniture,Chair,17,96.47039260412016
2022-08-09,East,Bob,Furniture,Table,43,192.09949225479502
2023-06-21,East,Eve,Stationery,Pen,46,4.959173747735066
2022-09-16,East,Charlie,Stationery,Pen,11,4.702012206738186
2022-08-22,South,Alice,Stationery,Pen,59,5.326407973042697
2023-03-27,East,Charlie,Furniture,Table,2,213.54790702509234
2022-10-13,South,Charlie,Stationery,Pen,65,4.668378405172095
2022-08-18,North,Charlie,Furniture,Table,50,203.72500041639424
2022-08-07,North,Alice,Furniture,Chair,27,90.62200889349718
2022-11-28,East,Charlie,Furniture,Table,19,194.6863737504072
2023-05-12,North,Eve,Furniture,Table,32,202.4255769160846
2022-11-29,South,Eve,Electronics,Laptop,46,1073.7884616624744
2023-01-25,East,Alice,Stationery,Notebook,43,10.740575745137253
2023-03-31,West,Charlie,Furniture,Table,40,188.37620270798124
2023-07-09,West,David,Electronics,Phone,66,474.73916035068686
2022-12-09,West,David,Electronics,Laptop,4,1028.6456572771956
2023-05-27,North,Alice,Furniture,Chair,43,91.91776696098532
2022-12-07,East,David,Stationery,Notebook,89,10.297230041796109
2022-12-20,West,Eve,Furniture,Chair,6,105.5645593219546
2023-06-21,North,David,Stationery,Pen,7,4.62978806204916
2023-05-14,West,Charlie,Stationery,Pen,20,5.4142045833033245
2023-04-10,East,Bob,Stationery,Notebook,39,10.306750775314246
2023-07-12,East,Eve,Stationery,Pen,82,4.926509728540952
2022-10-01,North,David,Furniture,Chair,50,94.28831974702116
2022-10-11,East,Charlie,Stationery,Notebook,39,9.088491150467856
2022-09-13,South,David,Furniture,Chair,59,95.55809956197224
2023-02-22,South,Alice,Stationery,Notebook,43,9.297485899332381
2022-12-30,East,Bob,Electronics,Phone,6,545.5827643981513
2022-12-15,West,Bob,Furniture,Table,68,196.50025847240963
2022-12-07,West,David,Stationery,Notebook,82,10.167212710779461
2022-12-13,North,Eve,Stationery,Notebook,76,10.205969528417576
2022-11-17,South,Charlie,Electronics,Laptop,42,1029.2846635843066
2022-09-22,North,Alice,Stationery,Notebook,74,10.926818038011337
2022-11-09,South,Bob,Electronics,Phone,14,457.6124952593119
2022-10-01,South,Charlie,Stationery,Notebook,81,10.884502895278903
2022-11-14,South,Alice,Furniture,Table,79,185.31806778030605
2023-05-02,South,Alice,Electronics,Phone,54,527.5978441022703
2023-07-20,South,Alice,Electronics,Phone,47,486.06237175961013
2022-10-02,East,Bob,Furniture,Chair,20,99.95026981767289
2022-08-01,South,Charlie,Electronics,Phone,75,524.9712902971409
2022-09-16,North,Bob,Furniture,Table,11,192.038294329294
2023-06-15,South,David,Electronics,Laptop,50,1097.9820667712968
2022-09-23,South,David,Furniture,Table,8,218.97559509213264
2022-08-26,North,David,Electronics,Phone,26,504.9804694688038
2023-06-01,South,Charlie,Stationery,Notebook,71,10.768230804080833
2023-05-16,East,Bob,Furniture,Chair,11,105.38133850170726
2022-12-13,South,Alice,Furniture,Chair,56,97.84619509115092
2022-11-24,East,David,Stationery,Pen,92,5.0010871667127335
2023-06-25,North,Eve,Stationery,Notebook,85,9.94190564507548
2022-11-28,North,Charlie,Stationery,Pen,89,4.757254772818832
2023-07-02,South,Alice,Electronics,Laptop,3,1011.6145999307203
2022-12-15,East,Charlie,Electronics,Phone,66,477.4703042878006
2023-01-04,West,Bob,Stationery,Pen,43,4.746303446810188
2023-05-28,East,Bob,Stationery,Notebook,47,9.399219287950185
2022-10-16,North,Eve,Electronics,Laptop,19,1068.1636195717201
2023-04-22,West,David,Electronics,Phone,67,491.5273931135038
2023-03-04,West,Alice,Furniture,Chair,11,109.25765856456042
2023-01-22,North,David,Electronics,Phone,31,462.9038366665438
2022-07-25,East,Bob,Furniture,Chair,81,99.07065327296814
2023-05-30,South,Charlie,Electronics,Laptop,33,978.9527038831634
2023-04-06,South,Charlie,Stationery,Notebook,77,9.969151795006535
2022-07-21,East,Bob,Stationery,Pen,32,5.450190856499465
2022-09-06,South,Charlie,Electronics,Laptop,62,1060.6341258370771
2023-03-07,East,David,Furniture,Table,54,183.52835505177393
2022-09-07,South,Alice,Electronics,Laptop,55,1058.8706864444068
2022-11-18,East,Alice,Furniture,Chair,99,107.90063156293965
2023-04-28,North,David,Furniture,Chair,43,95.76214590506716
2023-04-08,East,Charlie,Electronics,Laptop,39,955.5100092365137
2023-01-06,East,Eve,Electronics,Laptop,98,991.7753394895191
2022-08-02,South,Alice,Furniture,Chair,1,91.63823786244242
2022-11-23,South,Charlie,Furniture,Chair,54,105.7880046622879
2023-04-25,East,Bob,Electronics,Phone,38,456.07585225038
2023-05-30,South,Eve,Furniture,Chair,50,97.30239731211711
2022-08-12,West,Alice,Electronics,Laptop,80,998.6062362952614
2023-02-17,East,David,Furniture,Chair,57,93.69844726130066
2023-02-23,East,Alice,Stationery,Pen,52,5.4533448542645875
